muni_id,pop_muni,users_muni,kwh_muni,kwh_per_user_muni,ac_share_muni,kwh_pc_overall,year
1,87993.67498034239,71702.6333360076,48318159.740356445,673.8686916524114,0.8148612198777448,549.109464414921,2020
2,105523.7740945816,74144.27847099304,50950527.357421875,687.1808495288459,0.7026310336904465,482.8345820132874,2020
3,79115.74443167448,42472.46825131774,29232459.6844635,688.268430215309,0.5368396462223469,369.48978859333215,2020
4,79591.70408248901,38447.28132343292,28871310.923583984,750.9324589488476,0.48305639094730374,362.7427161712946,2020
5,87088.47256088257,61464.05676841736,37956163.17578125,617.5342912563684,0.7057656996504162,435.83452619686864,2020
6,96249.48280906677,57256.48013305664,38248335.994140625,668.017597672087,0.5948757173754189,397.3874443566112,2020
7,116401.91031312943,101848.17474269867,65996577.3503418,647.9897908657073,0.8749699594166438,566.9716001464778,2020
1,82375.50990962982,67117.35812681913,52645370.58441162,784.3778807951774,0.814773203837528,639.0900723062753,2030
2,98843.65953540802,69440.40256547928,55541004.63330078,799.8370178624588,0.7025276369963231,561.9076114174501,2030
3,74155.23296153545,39810.343941271305,31886354.933929443,800.9565380718292,0.5368514446164717,429.9946701060058,2030
4,74363.92086219788,35920.052386283875,31390243.645996094,873.8919146877984,0.48303064133542023,422.1165759154181,2030
5,81369.19468688965,57423.08443450928,41270897.71484375,718.7161525236932,0.705710369329259,507.2054341161298,2030
6,89923.26468849182,53484.71758079529,41583834.58203125,777.490025541442,0.5947817593820094,462.43688689555614,2030
7,108571.74377822876,95003.3676867485,71654235.87109375,754.2283811707429,0.8750284777667812,659.9713090862426,2030
1,80430.54459416866,66294.58866882324,53789336.28796387,811.3684276669346,0.8242464228400823,668.7675255634621,2040
2,96515.8129067421,68797.53891897202,56931966.65625,827.5291310149565,0.7128110601466651,589.8719074278556,2040
3,72403.2392436266,39473.72913080454,32706572.148498535,828.5655619259433,0.5451928607500703,451.7280233615733,2040
4,72608.96807670593,35610.69742631912,32192229.389648438,904.0044571407092,0.49044489089418114,443.36437002712614,2040
5,79443.2929649353,56955.753772735596,42346103.0859375,743.4912207045029,0.7169359633402248,533.0355969084543,2040
6,87799.69527816772,53040.41423034668,42659442.216796875,804.2818326714408,0.6041070423115206,485.87232656836534,2040
7,106013.1208319664,94055.33311080933,73367401.47949219,780.045103111522,0.8872046438467699,692.0596328428201,2040
1,78744.4336912632,64904.52138119936,66298550.9654541,1021.4781663438685,0.824242658670623,841.9458729666376,2050
2,94499.69344425201,67359.87782430649,70177796.10205078,1041.8337733594,0.7128052522630028,742.624590030555,2050
3,70885.620701015,38646.5464502275,40313140.39666748,1043.1240023593862,0.5451958530945632,568.7068829756364,2050
4,71088.08798408508,34864.77070236206,39678766.432128906,1138.0762260468348,0.49044462568985464,558.163365443336,2050
5,77775.93115234375,55760.24627685547,52193217.044921875,936.0291742249389,0.7169344738237203,671.0715805213352,2050
6,85959.59585952759,51928.62568664551,52580442.408203125,1012.5521674714535,0.6041050468816257,611.6878736159765,2050
7,103795.59740018845,92088.31885910034,90434856.54785156,982.044809347563,0.8872083321997736,871.2783471843804,2050
